Fly_ID,Day,Well,Baseline_Jitter,Recovery_Jitter
Day1_Bottom_Left,1,Bottom_Left,1.155425580158279,1.537552320086709
Day1_Bottom_Right,1,Bottom_Right,1.652282892888384,0.7513099503360716
Day1_Top_Left,1,Top_Left,0.8903882615738333,1.0209215934958042
Day1_Top_Mid,1,Top_Mid,1.6591872095565503,0.4623173458704167
Day1_Top_Right,1,Top_Right,1.2801134253149868,1.366495439539719
Day2_Bottom_Left,2,Bottom_Left,0.9348499518238075,1.614566370654822
Day2_Bottom_Mid,2,Bottom_Mid,1.5370356971923986,0.34811343857454513
Day2_Bottom_Right,2,Bottom_Right,1.818373678922908,1.8990889090610468
Day2_Top_Left,2,Top_Left,0.9741670015255111,1.687689721073323
Day2_Top_Mid,2,Top_Mid,1.5144750003604608,0.43923737418889663
Day2_Top_Right,2,Top_Right,1.5912156296101494,1.2850283295444271
Day3_Bottom_Left,3,Bottom_Left,1.3389571832212974,0.20754416040857956
Day3_Bottom_Mid,3,Bottom_Mid,1.0890435927865334,1.542674638082803
Day3_Bottom_Right,3,Bottom_Right,0.3696611038377329,0.057068673249729716
Day3_Top_Left,3,Top_Left,0.17968958418649542,0.9929394523853681
Day3_Top_Mid,3,Top_Mid,0.10949259707750635,0.9472139529724086
Day3_Top_Right,3,Top_Right,0.41758788256417206,1.6222220160946543
Day4_Bottom_Left,4,Bottom_Left,2.7409020593411353,1.9460723338127721
Day4_Bottom_Mid,4,Bottom_Mid,0.22645280420261535,0.04304348735626182
Day4_Bottom_Right,4,Bottom_Right,2.029275700164874,1.7999067408980882
Day4_Top_Left,4,Top_Left,0.4335517946377878,1.4221532592147375
Day4_Top_Right,4,Top_Right,0.5204946165753093,0.20015878389995712
