identity,frame_idx,time_sec,condition,velocity,angular_velocity,grooming_distance,instance.score
Fly_1,1611,13.425,Baseline,,,4.626438980634158,0.2013004571199417
Fly_1,1613,13.441666666666666,Baseline,230.99507308480307,4566.533899738124,10.838561369845793,0.2209022939205169
Fly_1,1666,13.883333333333333,Baseline,239.11293810410882,4600.437681587583,4.6439193634535245,0.2542739510536194
Fly_1,1690,14.083333333333334,Baseline,42.34631970480439,17.0831170927147,4.633228477117282,0.2300051897764206
Fly_1,1711,14.258333333333333,Baseline,11.169116606670007,17.643449601242764,4.618626070698979,0.2437772899866104
Fly_1,1713,14.275,Baseline,16.823859606634596,4.361264920045187,4.629660864778183,0.2191260457038879
Fly_1,1724,14.366666666666667,Baseline,588.3262740303559,3607.1784831755326,4.645231634081561,0.2002422511577606
Fly_1,1730,14.416666666666666,Baseline,12.898415032314647,40.56597707656351,4.706476326834833,0.2026182115077972
Fly_1,1736,14.466666666666667,Baseline,8.166109768375684,50.53622110897095,4.670671654104134,0.2108868956565857
Fly_1,1785,14.875,Baseline,573.9168050394112,3578.2223897793383,4.630457061014599,0.2407813519239425
Fly_1,1797,14.975,Baseline,42.69637976426711,3760.783508844079,7.534885597905429,0.2703327536582947
Fly_1,1803,15.025,Stimulus,21.43557593271984,3712.4257794358823,4.641521940746271,0.2406412661075592
Fly_1,1807,15.058333333333334,Stimulus,13.956528969285806,3726.872733593408,7.5246090588314365,0.2311925590038299
Fly_1,1819,15.158333333333333,Stimulus,40.06039009548976,3849.5676617289123,4.603110840229209,0.2176318764686584
Fly_1,1833,15.275,Stimulus,49.71168918931573,3858.1313823367555,7.535502062960871,0.2475495785474777
Fly_1,1853,15.441666666666666,Stimulus,18.517760141614968,28.17246245366391,7.528874951970779,0.2323500216007232
Fly_1,1855,15.458333333333334,Stimulus,7.6863305202503085,2.5996508293928855,7.547713296595901,0.2126819938421249
Fly_1,1859,15.491666666666667,Stimulus,11.219376368556295,3761.8050120594435,4.623697111061117,0.2300100326538086
Fly_1,1893,15.775,Stimulus,17.871575521010023,3.4782629203414217,4.651387604855439,0.2284618765115738
Fly_1,1894,15.783333333333333,Stimulus,18.955837983314627,3760.6325854408365,7.515314822428388,0.2556171715259552
Fly_1,1896,15.8,Stimulus,384.6745287647436,74.53600608390047,4.4998143248034905,0.2022451013326645
Fly_1,1920,16.0,Stimulus,398.6133217576755,62.85427012162927,7.49065320610812,0.2370325624942779
Fly_1,2017,16.808333333333334,Stimulus,471.0884048386419,1694.6756177992154,8.323941289474499,0.5853394865989685
Fly_1,2018,16.816666666666666,Stimulus,196.80088242058227,1785.275392289741,9.487199538114977,0.9444676041603088
Fly_1,2019,16.825,Stimulus,360.7410380495406,1445.6613931710615,8.518621123453997,0.9830419421195984
Fly_1,2020,16.833333333333332,Stimulus,9.742017669543456,84.51668126599998,8.580029770558358,0.9911842942237854
Fly_1,2021,16.841666666666665,Stimulus,0.6695153251187367,35.83007416791361,8.576775697037919,1.0018612146377563
Fly_1,2022,16.85,Stimulus,37.544143205910736,15.636644333701497,8.562733104501726,0.9968107342720032
Fly_1,2023,16.858333333333334,Stimulus,339.47879697696254,753.3750797063283,7.754395314558806,0.996410310268402
Fly_1,2024,16.866666666666667,Stimulus,3.753724632672884,21.671013192697046,7.736685660338766,0.9928324818611144
Fly_1,2025,16.875,Stimulus,2.319003111399233,9.10940302955396,7.737290112386484,0.9936549067497252
Fly_1,2026,16.883333333333333,Stimulus,3.384684654715752,94.88221093547054,7.79622850480342,0.9985617995262146
Fly_1,2027,16.891666666666666,Stimulus,5.279258058936624,152.67471946403361,7.572482004387487,1.0009427070617676
Fly_1,2028,16.9,Stimulus,0.5524811181341633,19.72447469187614,7.587293183557628,1.0021212100982666
Fly_1,2029,16.908333333333335,Stimulus,17.45110663864503,578.3263190160449,7.9499256920978025,0.9959590435028076
Fly_1,2030,16.916666666666668,Stimulus,4.367408978846277,1.811839956374115,8.016959854894589,1.0000379085540771
