Day,identity,phase,gaze_relative_angle
1,Bottom_Left,Vortex_1,150.79900556323472
1,Bottom_Left,Vortex_1,150.79900556323472
1,Bottom_Left,Vortex_1,150.8687228221197
1,Bottom_Left,Vortex_1,154.5923234528399
1,Bottom_Left,Vortex_1,154.69390725977107
1,Bottom_Left,Vortex_1,154.81541306317018
1,Bottom_Left,Vortex_1,154.8957481034328
1,Bottom_Left,Vortex_1,154.87980281957954
1,Bottom_Left,Vortex_1,154.85937596246814
1,Bottom_Left,Vortex_1,154.8279047356744
1,Bottom_Left,Vortex_1,154.8098999432173
1,Bottom_Left,Vortex_1,150.75523882588817
1,Bottom_Left,Vortex_1,150.73077334510853
1,Bottom_Left,Vortex_1,150.70306166749035
1,Bottom_Left,Vortex_1,150.70613078352096
1,Bottom_Left,Vortex_1,150.6937310818901
1,Bottom_Left,Vortex_1,150.78143854600987
1,Bottom_Left,Vortex_1,152.13209284942545
1,Bottom_Left,Vortex_1,152.15701495519946
1,Bottom_Left,Vortex_1,152.17302298237644
1,Bottom_Left,Vortex_1,152.22023774134115
1,Bottom_Left,Vortex_1,152.21955792880732
1,Bottom_Left,Vortex_1,156.10898500263212
1,Bottom_Left,Vortex_1,156.07923596048317
1,Bottom_Left,Vortex_1,156.07003220441734
1,Bottom_Left,Vortex_1,156.0402472455252
1,Bottom_Left,Vortex_1,156.06399192295052
1,Bottom_Left,Vortex_1,156.05073288156274
1,Bottom_Left,Vortex_1,156.65831387001333
1,Bottom_Left,Vortex_1,156.64570201048278
1,Bottom_Left,Vortex_1,156.64192353666212
1,Bottom_Left,Vortex_1,156.59453316862152
1,Bottom_Left,Vortex_1,156.59272243937374
1,Bottom_Left,Vortex_1,153.11654785281223
1,Bottom_Left,Vortex_1,153.11670611495907
1,Bottom_Left,Vortex_1,153.11814915753325
1,Bottom_Left,Vortex_1,153.0628260965734
1,Bottom_Left,Vortex_1,153.0003560484479
1,Bottom_Left,Vortex_1,152.97002696424843
1,Bottom_Left,Vortex_1,152.98339330617125
1,Bottom_Left,Vortex_1,152.9833723749203
1,Bottom_Left,Vortex_1,156.08924910859992
1,Bottom_Left,Vortex_1,156.08179832976109
1,Bottom_Left,Vortex_1,156.091713113575
